Time_UTC,MODAQ_Va_V,MODAQ_Vb_V,MODAQ_Vc_V,MODAQ_Ia_I,MODAQ_Ib_I,MODAQ_Ic_I
15:21.5,663.9245911,9402.371826,-10214.86487,-0.447692871,-21.08764648,21.35421753
15:21.5,577.2322083,9422.192322,-10181.61108,-0.186309814,-21.20193481,21.28707886
15:21.5,484.5711975,9442.536041,-10150.88428,-0.015411377,-21.32644653,21.29669189
15:21.5,386.6236877,9464.930023,-10122.07208,0.169067383,-21.44454956,21.21078491
15:21.5,283.1416321,9491.149353,-10094.62027,0.408935547,-21.6317749,21.07025146
15:21.5,174.2257996,9520.062317,-10068.07538,0.621032715,-21.71798706,21.06307983
15:21.5,62.62020874,9553.645538,-10043.15829,0.815582275,-21.84875488,20.92468262
15:21.5,-49.66363525,9591.949402,-10019.73724,0.927124023,-21.91970825,20.89935303
15:21.5,-159.6220398,9631.214447,-9996.323944,1.163482666,-21.99752808,20.80932617
15:21.5,-264.9334412,9670.095795,-9970.279022,1.292877197,-22.1685791,20.87799072
15:21.5,-367.5822144,9710.174744,-9940.850586,1.421051025,-22.30529785,20.75317383
15:21.5,-465.8552856,9750.532745,-9908.899048,1.614990234,-22.39349365,20.65963745
15:21.5,-560.3882751,9792.130981,-9873.843048,1.786956787,-22.46063232,20.61630249
15:21.5,-652.8632507,9835.83374,-9833.822235,1.944885254,-22.50366211,20.46905518
15:21.5,-743.9545898,9879.8078,-9788.518799,2.124176025,-22.68447876,20.42236328
15:21.5,-835.4606323,9925.463928,-9738.018005,2.359771729,-22.76931763,20.32699585
15:21.5,-927.8735962,9972.585083,-9683.308167,2.476043701,-22.72491455,20.23803711
15:21.5,-1018.914551,10020.83795,-9626.435669,2.656555176,-22.7645874,19.9911499
15:21.5,-1110.990326,10070.21478,-9567.214478,2.932128906,-22.87490845,19.8878479
15:21.5,-1201.004211,10118.59943,-9507.400299,3.081054688,-22.91732788,19.7857666
15:21.5,-1290.773926,10165.65082,-9446.345886,3.235168457,-22.91290283,19.62936401
15:21.5,-1379.144501,10208.40015,-9384.34967,3.422851563,-23.00979614,19.56756592
15:21.5,-1465.088867,10257.26151,-9330.694031,3.560791016,-23.1072998,19.50180054
15:21.5,-1548.451996,10302.53006,-9276.39502,3.726196289,-23.26263428,19.39620972
15:21.5,-1627.757233,10339.06659,-9226.405823,3.966522217,-23.27529907,19.2906189
15:21.5,-1706.981079,10378.05258,-9176.575531,4.167327881,-23.33496094,19.14642334
15:21.5,-1785.515045,10416.08514,-9130.803131,4.339141846,-23.40057373,18.95248413
15:21.5,-1866.316315,10445.29654,-9081.267395,4.572143555,-23.39920044,18.77563477
15:21.5,-1949.152344,10473.87619,-9031.537872,4.784240723,-23.44894409,18.57757568
15:21.5,-2035.461029,10499.16534,-8977.719452,5.046081543,-23.51028442,18.45077515
15:21.5,-2125.556305,10518.68353,-8920.93222,5.228729248,-23.50112915,18.14682007
15:21.5,-2220.62027,10537.90329,-8862.571442,5.519714355,-23.57315063,17.99362183
15:21.5,-2317.72287,10556.14636,-8803.826965,5.74005127,-23.68377686,17.84790039
15:21.5,-2417.05014,10570.57184,-8744.303467,5.910644531,-23.697052,17.73239136
15:21.5,-2518.210632,10586.0864,-8684.826477,6.163635254,-23.7550354,17.52471924
15:21.5,-2616.01474,10599.94601,-8628.349304,6.417694092,-23.87039185,17.43408203
15:21.5,-2711.993378,10612.73981,-8574.430115,6.602630615,-23.95507813,17.28378296
15:21.5,-2804.976074,10629.86279,-8524.704468,6.779022217,-24.00741577,17.08557129
15:21.5,-2893.559814,10646.2959,-8476.153168,7.072143555,-24.14123535,16.91879272
15:21.5,-2981.287018,10665.42264,-8428.578552,7.27432251,-24.10552979,16.73812866
