,Tanana
2010-08-26 00:00:00+00:00,1291.24808063538
2010-08-27 00:00:00+00:00,1265.7629211491553
2010-08-28 00:00:00+00:00,1271.4262899238722
2010-08-29 00:00:00+00:00,1313.9015557342466
2010-08-30 00:00:00+00:00,1328.059977671038
2010-08-31 00:00:00+00:00,1333.7233464457545
2010-09-01 00:00:00+00:00,1325.2282932836795
2010-09-02 00:00:00+00:00,1333.7233464457545
2010-09-03 00:00:00+00:00,1322.3966088963216
2010-09-04 00:00:00+00:00,1294.0797650227385
2010-09-05 00:00:00+00:00,1260.0995523744389
2010-09-06 00:00:00+00:00,1237.4460772755724
2010-09-07 00:00:00+00:00,1223.2876553387812
2010-09-08 00:00:00+00:00,1254.4361835997224
2010-09-09 00:00:00+00:00,1268.5946055365139
2010-09-10 00:00:00+00:00,1373.3669278687705
2010-09-11 00:00:00+00:00,1597.0699944700755
2010-09-12 00:00:00+00:00,1699.010632414974
2010-09-13 00:00:00+00:00,1585.7432569206424
2010-09-14 00:00:00+00:00,1495.1293565251774
2010-09-15 00:00:00+00:00,1435.663984390653
2010-09-16 00:00:00+00:00,1367.7035590940538
2010-09-17 00:00:00+00:00,1322.3966088963216
2010-09-18 00:00:00+00:00,1291.24808063538
2010-09-19 00:00:00+00:00,1243.1094460502893
2010-09-20 00:00:00+00:00,1197.8024958525564
2010-09-21 00:00:00+00:00,1146.8321768801077
2010-09-22 00:00:00+00:00,1098.6935422950164
2010-09-23 00:00:00+00:00,1039.2281701604925
2010-09-24 00:00:00+00:00,982.5944824133264
2010-09-25 00:00:00+00:00,917.465741504086
2010-09-26 00:00:00+00:00,858.0003693695619
2010-09-27 00:00:00+00:00,809.861734784471
2010-09-28 00:00:00+00:00,767.3864689740967
2010-09-29 00:00:00+00:00,739.0696251005138
2010-09-30 00:00:00+00:00,724.9112031637222
2010-10-01 00:00:00+00:00,719.2478343890058
2010-10-02 00:00:00+00:00,716.4161500016472
2010-10-03 00:00:00+00:00,707.9210968395724
2010-10-04 00:00:00+00:00,690.9309905154229
2010-10-05 00:00:00+00:00,676.7725685786313
2010-10-06 00:00:00+00:00,656.9507778671233
2010-10-07 00:00:00+00:00,642.7923559303317
2010-10-08 00:00:00+00:00,628.6339339935404
2010-10-09 00:00:00+00:00,620.1388808314655
2010-10-10 00:00:00+00:00,600.3170901199575
2010-10-11 00:00:00+00:00,586.158668183166
2010-10-12 00:00:00+00:00,577.6636150210911
2010-10-13 00:00:00+00:00,569.1685618590162
2010-10-14 00:00:00+00:00,555.0101399222248
2010-10-15 00:00:00+00:00,552.1784555348664
2010-10-16 00:00:00+00:00,543.6834023727916
2010-10-17 00:00:00+00:00,538.0200335980751
2010-10-18 00:00:00+00:00,526.693296048642
2010-10-19 00:00:00+00:00,515.3665584992086
2010-10-20 00:00:00+00:00,509.7031897244922
2010-10-21 00:00:00+00:00,509.7031897244922
2010-10-22 00:00:00+00:00,509.7031897244922
2010-10-23 00:00:00+00:00,506.87150533713384
2010-10-24 00:00:00+00:00,484.2180302382676
2010-10-25 00:00:00+00:00,455.9011863646847
2010-10-26 00:00:00+00:00,438.91108004053496
2010-10-27 00:00:00+00:00,444.57444881525146
2010-10-28 00:00:00+00:00,444.57444881525146
2010-10-29 00:00:00+00:00,438.91108004053496
2010-10-30 00:00:00+00:00,438.91108004053496
2010-10-31 00:00:00+00:00,430.41602687846006
2010-11-01 00:00:00+00:00,396.4358142301606
2010-11-02 00:00:00+00:00,368.1189703565777
2010-11-03 00:00:00+00:00,373.78233913129435
2010-11-04 00:00:00+00:00,376.61402351865263
2010-11-05 00:00:00+00:00,382.27739229336913
2010-11-06 00:00:00+00:00,393.60412984280225
2010-11-07 00:00:00+00:00,373.78233913129435
2010-11-08 00:00:00+00:00,362.4556015818611
2010-11-09 00:00:00+00:00,368.1189703565777
2010-11-10 00:00:00+00:00,368.1189703565777
2010-11-11 00:00:00+00:00,368.1189703565777
2010-11-12 00:00:00+00:00,368.1189703565777
2010-11-13 00:00:00+00:00,368.1189703565777
2010-11-14 00:00:00+00:00,368.1189703565777
2010-11-15 00:00:00+00:00,368.1189703565777
2010-11-16 00:00:00+00:00,356.79223280714444
2010-11-17 00:00:00+00:00,348.29717964506966
2010-11-18 00:00:00+00:00,339.8021264829948
2010-11-19 00:00:00+00:00,331.30707332091987
2010-11-20 00:00:00+00:00,331.30707332091987
2010-11-21 00:00:00+00:00,342.6338108703531
2010-11-22 00:00:00+00:00,356.79223280714444
2010-11-23 00:00:00+00:00,368.1189703565777
